Neil Gorsuch|To some lawyers, all facts are created equal.
Sarah Dessen|As I rolled over, stretching out, my only thought was to go back to the dream I'd been having, which I couldn't remember, other than that it had been good, in that distant, hopeful way unreal things can be.
Galileo Galilei, Discoveries and Opinions of Galileo|Names and attributes must be accommodated to the essence of things, and not the essence to the names, since things come first and names afterwards.
Faith Tigere|Socialism is "group-think." How uninformed in history do you have to be to advocate for "group-think"??
Roy T. Bennett, The Light in the Heart|Acts of Kindness:A random act of kindness, no matter how small, can make a tremendous impact on someone else's life.
Elana K. Arnold, What Girls Are Made Of|It's not new, our valuation of young female people for how they can serve, satisfy, and satiate. Our girls are both the platter and the meal, and we eat them up--we eat their meat, we lap up their sweetness, we covet and control and consume.
Rocio Sanchez|And she saw beauty even in the tiny sparkles of dust suspended in the air, high above.
Johann Wolfgang von Goethe, The Sorrows of Young Werther|When I go out by the gateway, taking the road I drove along that first time I picked up Lotte for the ball, how very different it all is! It is all over, all of it! There is not a hint of the world that once was, not one bulse-beat of those past emotions. I feel like a ghost returning to the burnt-out ruins of the castle he built in his prime as a prince, which he adorned with magnificent splendours and then, on his deathbed, but full of hope, left to his beloved son
Matshona Dhliwayo|If you do not chase success, you will be overtaken by failure.
S.S. Van Dine, The Greene Murder Case|But society is ignorant and venomous, devoid of any trace of insight or understanding. It exalts knavery, and worships stupidity. It crucifies the intelligent, and puts the diseased in dungeons.
Thomas Paine|The Iraq war was always a long shot. But it was made immeasurably longer by its principal architects in Washington, including Douglas Feith, who ignored expert advice, reserved most of their effort for fighting each other in ideological battles, and regarded the Iraqi people as an afterthought.
Eddie  Capparucci|When trapped in a constant state of negative over-stimulation, anxiety becomes the norm in our lives. From the book: Removing Your Shame Label
Robin Gibb|Once in a while, I still witness occasionally sexist behavior and comments from men (which experience has taught me you should always deflect with humour rather than anger). Old habits die hard, after all, and it's unrealistic to expect dinosaurs to fall silent overnight.
Sherman Alexie, The Absolutely True Diary of a Part-Time Indian|I knew I was being an idiot. But I figured if I kept being an idiot, if I didn't actually accept the truth, then the truth would become false.
Nadine Brandes, A Time to Die|You shouldn’t be placing hope in our lives, Parvin. That’s my point. I don’t know the answers of the future, but your confidence and hope need to be in God.
Clarence Darrow|I smile broadly, feeling as warm and full as the sun.
Madison Thorne Grey, Sustenance|The first thing that went through Mahgen's mind was how cold she'd become with the loss of Kathel, how insane it was that things could go from tender and warm, to cold and indifferent, in the matter of seconds. That was what it felt like when you loved completely yet allowed things to get in the way of forever."-Madison Thorne Grey, Sustenance
Michael Moore|The important thing to note is that it is not important whether Malala was shot or not - Malala is not asking for personal favors or support. She is asking for support with girls' education and women's rights. So don't support Malala, support her campaign for girls' education and women's rights.
Mehmet Murat ildan|Reflection is a blessing and reflection happens not only when one sees himself on a mirror or on the windowpane or on a puddle, but it also happens when someone criticises you! In every true critique made on you, you will see yourself and you will obtain a good chance to make corrections on yourself! Reflection happens even in the books you read! Reflection is a blessing; when it happens, you discover yourself, you face yourself!
Edward O. Wilson, The Social Conquest of Earth|Species do not grow more perfect: the weaker dominate the strong again and again - the reason being they are the great majority, and they are also cleverer.... Darwin forgot the mind (- that in English): the weak possess more mind. ... To acquire mind one must need mind - one loses it when one no longer needs it. He who possesses strength divests himself of mind.
Brittany Murphy|At the end of the day, the one commonality that both Hindi cinema and Hollywood share is that they are full of talented and inspirational people. Outside of this, there are many differences, from the scheduling and rehearsal to promotion and directing techniques.
Daniel H. Wilson|I don't think I'll ever feel as famous or as popular as I felt when I was a 17-year-old soccer player in Modle. Only about 20,000 people live there and 12,000 of them come to every game. Running onto the pitch each week was just the most fantastic feeling. Nothing can beat that.
Steven Spielberg, Close Encounters of the Third Kind|She wanted to go over and hug his tears away, but she was too frightened.
Tom Brokaw|Speaking as a writer, it would be difficult to find an event in American history more dramatic and riveting than the Civil War.
Edgar Rice Burroughs, Tarzan of the Apes|M'sieur, I am as a slave to my wife." He kissed the tips of his fingers. "I am as the dirt beneath her feet." He clasped his hands. "I must bestow on her all that she desires, or die!""Pray make use of my sword, " invited his Grace. "It is in the corner behind you.
Christian Bauman|Reading was a joy, a desperately needed escape -- I didn't read to learn, I was reading to read.
Laura Pritchett, Sky Bridge|Because the difference between a friend and a real friend is that you and the real friend come from the same territory, of the same place deep inside you, and that means you see the world in the same kind of way. You know each other even before you do.
Bonnie Jensen|Contrary to popular belief, going shopping is really about stopping afterward for cheesecake.
Vishal Bhojwani, SPARK|A smile opened, thin as a paper cut, in the bottom of Flowers's face.
Jean-Baptiste Lamarck, Zoological Philosophy|Our planet is not fragile at its own timescale and we, pitiful latecomers in the last microsecond of our planetary year, are stewards of nothing in the long run.
P. Harding|[B]e comforted in the fact that the ache in your heart and the confusion in your soul means that you are still alive, still human, and still open to the beauty of the world, even though you have done nothing to deserve it. And when you resent the ache in your heart, remember: You will be dead and buried soon enough.
Noam Chomsky, Gaza in Crisis: Reflections on Israel's War Against the Palestinians|I am never forget the day I first meet the great Lobachevsky.In one word he told me secret of success in mathematics:Plagiarize!Plagiarize!Let no one else's work evade your eyes!Remember why the good Lord made your eyes!So don't shade your eyes,But plagiarize, plagiarize, plagiarize -Only be sure always to call it please 'resea
Geoff Downes|Nobody has it all, but for me to even come close is amazing.
John Lasseter|I do what I do. You like it, great. You don't, go listen to somebody else. I'm stickin' with the people who stuck with me.
Christine Warren, Hard as a Rock|You have a surprisingly logical mind, for a human. And a female. And a witch.
Kierra C.T. Banks|You are powerful beyond measure! Sometimes we are too afraid of what we might become so we hold on to the story we sold ourselves. You were born chosen and blessed. When you move away from stress and worry, you can begin to cultivate the greatness within. You've gotten glimpses of what you can be because of the hand of God on your life. Let's move from sickness to success. Rewrite your story and you win!!!!
Kathryn Minshew|If you don't have anything nice to say, don't say it at all. And if you do have to say it, make it really funny so I can screenshot it and save it for later.
Jill Kargman|My sister really drooled a lot when she was younger. For her wedding, I was going to get her one of those lace drool cups that go around the ears.
Kerrelyn Sparks, The Vampire and the Virgin|Actually Gabriel’s an archangel,” I corrected. “But otherwise, yes.”“Well, that explains why he’s so hard to impress,” said Xavier flippantly
Raymond Williams, Resources of Hope: Culture, Democracy, Socialism|Death is inevitable. But the meaning people attach to death, its causes and aftermath, is culturally given. Without meaning, without culture making sense of things, life would be impossible.
Gertrude Stein|Everyone has a responsibility towards this larger family of man, but especially if you're privileged, that increases your responsibility.
Tamara L. Chilver|By fulfilling our divinely appointed jobs as parents, we can be God's tools that define and refine our children as they are sculpted into the individuals that He wants them to be.
Cassandra Clare, Clockwork Angel|Scars fade with time. And the ones that never go away, well, they build character, maturity, caution.
Albert Camus, Resistance, Rebellion and Death: Essays|I belong to a nation which for the past four years has begun to relive the course of her entire history and which is calmly and surely preparing out of the ruins to make another history…Your nation, on the other hand, has received from its sons only the love it deserved, which was blind. A nation is not justified by such love. That will be your undoing. And you who were already conquered in your greatest victories, what will you be in the approaching defeat?
Shannon L. Alder|All this. They have all this, and what do we get? Walls and tickets and concrete and stink. Rations and hopelessness and rage. I hate them,” she said, the malice in her words like the lingering taste of a bad kiss.
Crystal Woods, Write like no one is reading 2|We must all work in harmony with each other to stand up for what is right, to speak up for what is fair, and to always voice any corrections – so that the ignorant become informed and justice is never ignored. Every time a person allows an act of ignorance to happen (one ignorant word, thought or action), they delay our progress for TRUE CHANGE. Every person, molecule, and thing matters. We become responsible for the actions of others the instant we become conscious of what they are doing wrong.
Debasish Mridha|This universe was created for joy and happiness. You are born to be happy. Your happiness ultimately makes this universe joyful. Blooming flowers, singing birds, and smiling people fill this universe with joy.
Henry Chancellor, The Museum's Secret|Sir Henry fixed him with a keen eye.'Odd name, Tom Skatt - eh?''Thats right''You don't think we could be related?'Tom looked up at his great-great-great-uncle and smiled.'I don't think so''No,' grinned Sir Henry "no, of course not
Richelle E. Goodrich, Smile Anyway|Life works on the same principle as a boomerang. It's simple, really—what you send out you get back. A smiling face receives many smiles. Friendliness finds itself surrounded by friends. Giving hugs creates hugs. Offered help is reciprocated. In contrast, if you hurt people you will find much hurt in your life. Unkindness begets unkindness. Misery begets misery. A dour face will receive many sour looks in response. That said, it is easy to understand that if you want a happy life you must contribute to the happiness of those around you.
Jim Butcher, Vignette|Every soul is special. They’re all beautiful. They’re all far more significant than anyone on this rock realizes. I think when people are at their best, they’re acting in accordance with their soul. The ones who have gone bad don’t have bad souls. They’ve just given up on keeping in touch with them.
Craig Venter|If even in science there is no a way of judging a theory but by assessing the number, faith and vocal energy of its supporters, then this must be even more so in the social sciences: truth lies in power.
Laura Kaye, Seduced by the Vampire King|That's what underwear is for, girls, so if an emergency happens you only show your cookies to the people you love.
G.K. Chesterton|Who am I?? No, No you don't ask the questions I ask them my question is how much stupid are you??...You are so quite, why?? You don't have answer, it's not a problem you don't need to answer I kwow it!
Aaron Sanchez|But very often in politics we have the experience called up from my father when someone was trying to help him in the campaign: I can take care of my enemies, may the Good Lord save me from my friends.
Henry Ward Beecher|The experience of democracy is like the experience of life itself-always changing, infinite in its variety, sometimes turbulent and all the more valuable for having been tested by adversity.
Ena Snow|The bottom line is this; when one person stops being a part of your life, another one will come, and fill that empty space. Leave the ones who left in the past, right where they belong, and never look back.
Mehmet Murat ildan|Sovereignty unconditionally belongs neither to the people of the nation nor to some supernatural power but to the human mind, to the science and to the high ethical values!
Cheryl Zelenka|Timing is a big factor in seeing our desires met, and God’s timing is perfect. Do not give up on a dream if it seems impossible or out of reach. Nothing is impossible for Yahweh! However, because man has the gift of free will and continually chooses rebellion and sin over submission, the heavenly Father may need time to align events and transform hearts. It takes time to mold self-willed lumps of clay into vessels of honor and gratitude.
George "GM64" Mercado|All too often, we are pleasing the enemy MORE than we are pleasing God by living defeated. Jesus did not die for us to walk around defeated. You have the POWER to turn any situation around that you want to.
Hannah Harrington, Saving June|Sketchy black van? Weird stalking of my house? What are you going to do next, offer me some candy?
Erica Jong|When women are depressed, they eat or go shopping. Men invade another country. It's a whole different way of thinking.
Harlan Coben, Deal Breaker|A dancer on break approached him. She smiled. Each tooth was angled in a different direction, as if her mouth were the masterwork of a mad orthodontist. "Hi," she said. "Hi." "You're really cute." "I don't have any money."She spun and walked away. Ah, romance.
Simon Sinek|The thing about being autistic is that you gradually get less and less autistic, because you keep learning, you keep learning how to behave. It's like being in a play; I'm always in a play.
Kamand Kojouri|Our daily prayer ought to be: Please universe, help me help myself and help me show others how to help themselves.
William Peter Blatty, The Exorcist|And there lies the heart of it, perhaps: in unworthiness. For I think belief in God is not a matter of reason at all; I think it finally is a matter of love: of accepting the possibility that God could ever love us.
Steven Magee|When discharging industrial gas into the indoor environment in high altitude astronomy, we never wore breathing respirators that fed us oxygenated air at above the legally required 19.5% oxygen levels.
Derric Yuh Ndim|I don’t understand why people are always putting us down, instead of encouraging us to become great. Because, when you do become great, you will give me a world that I would not have any other way. We all havesomething to give one another.
Adam Dodek, The Canadian Constitution|We are equal, we re all Humans, we are all related in some way. It doesn't matter what colour our skins is, our race, beliefs, gender, age, we are all equal. I say now is the right time to unite, if we do not unite soon something bads gonna happen
David  Brooks|Republics exist as long as the people "adhere to principles and virtue.
M.F. Moonzajer|Love EgoistSumire: At first, I was simply fighting the image others forced on me. It's true that it's kind of fun to curse people behind their backs, but... I know it's not nice and it makes me feel depressed afterward.
Brian Fatah Steele, Further Than Fate: five tales of post-mythic darkness|As I shivered and brooded on the casting of that brain-blasting shadow, I knew that I had at last pried out one of earth's supreme horors-one of those nameless blights of outer voids whose faint demon scratchings we sometimes hear on the farthest rim of space, yet from which our own finite vision has given us a merciful immunity.
Debatrayee Banerjee, A Whispering Leaf. . .|What was the difference between love and the agony of waiting? Like love, the agony of waiting began in the muscles somewhere around the upper belly but soon spread out to the chest, the thighs, and the forehead, to invade the entire body with numbing force.
Ama H. Vanniarachchy|Although I wasn't there to bear witness, I imagine Lot's wife scanned the masses for her children. Perhaps she sought out the curves of their mouths and the shapes of their faces, trying to memorize her children, grown now. She looked back as I and any strong, loving mother would have done.
Stephen King, Bag of Bones|Grief is like a drunken house guest, always coming back for one more goodbye hug.
Ransom Riggs|Is anything illegal here?' Addison asked.'Library late fines are stiff. Ten lashes a day, and that's just for paperbacks.'There's a library?''Two. Though one won't lend because all the books are bound in human skin and quite valuable.
Jon Morrison, Clear Minds & Dirty Feet: A Reason to Hope, a Message to Share|The Bible depicts a world that, seen through modern eyes, is staggering in its savagery. People enslave, rape, and murder members of their immediate families. Warlords slaughter civilians indiscriminately, including the children. Women are bought, sold, and plundered like sex toys. And Yahweh tortures and massacres people by the hundreds of thousands for trivial disobedience or for no reason at all. These atrocities are neither isolated nor obscure. They implicate all the major characters of the Old Testament, the ones that Sunday-school children draw with crayons. And they fall into a continuous plotline that stretches for millennia, from Adam and Eve through Noah, the patriarchs, Moses, Joshua, the judges, Saul, David, Solomon, and beyond.
Roland Puccetti|Man cannot be content in his riches even if he has the whole world, there must be a frivolous extra desire.
Else Holmelund Minarik, Little Bear|Once your baby arrives, the world is no more the same than you are. Because from our very bodies we add to the collective human destiny. Our deepest urge is always toward life, to wholeness and well being.
Sherrilyn Kenyon, Born of Shadows|In order to know your enemy, you must become your enemy.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|Love thy soul, manifest thy light
Ed Asner|Someday, I plan to buy a house in Goa, do only one movie a year, and spend the rest of time painting, learning how to cook, cooking for friends, and doing yoga.
Gabriel García Márquez|She nailed it to the wall with her well-aimed dart, like a butterfly with no will whose sentence has always been written.
Teresa Medeiros, Charming the Prince|Stand and yield," she called out, her voice far steadier than her hands. "For I cannot allow you to pass." Bannor's crooked grin was somehow more intimidating than a snarl. 'Twould have been far easier to despise him if he'd been cursed with horns and a tail instead of twinkling blue eyes and a dimple in his jaw. "What would you have me yield, my lady? My sword or my heart?"-willow&bannor-
Lauren DeStefano, Sever|She's been conned, ruined, left for dead, and she's not going to forgive any of it. She will soldier on, if only out of spite.
John Geddes, A Familiar Rain|...a bard's down-to-earth love: My mistress' eyes are nothing like the sun; Coral is far more red and when she walks, treads on the ground...
S.A. Tawks, The Spirit of Imagination|Isn't it true that a well-read book seems more alive to you, Ms Rainn?
Shanaé Jordan|Living without meaning is not Life, it is Death. It is like being in the graveyard except that you still have breath.-RVM
John Zea|SUICIDE...Is to have the freedom to choose; when, where and how to die.― John Zea
M.F. Moonzajer|I am a religious by the heart, but an atheist by the mind.
David Lovelace, Scattershot: My Bipolar Family|Compared to bipolar's magic, reality seems a raw deal. It's not just the boredom that makes recovery so difficult, it's the slow dawning pain that comes with sanity - the realization of illnesss, the humiliating scenes, the blown money and friendships and confidence. Depression seems almost inevitable. The pendulum swings back from transcendence in shards, a bloody, dangerous mess. Crazy high is better than crazy low. So we gamble, dump the pills, and stick it to the control freaks and doctors. They don't understand, we say. They just don't get it. They'll never be artists.
GG Allin|I grew up in a house full of women: my mother, grandmother, three sisters, and two female cats. And I still have the buzz of their conversations in my head. As an adult, I have more female friends than male ones: I just love the way that women talk.
A.J. Jacobs, The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible|God, after He spoke long ago to the fathers in the prophets in many portions and in many ways, in these last days has spoken to us in His Son.
Criss Jami|If beauty is relative, then any and everything when compared to the beauty of God is absolutely hideous.
Anthony Liccione|If I simply do my best, I cannot complain even if I am taken to hell.
Cornell Woolrich, Vampire's Honeymoon|Relax, it only hurts a little,” she murmured in Edwin’s ear as she stroked his head and shoulders from behind. “What you feel later more than makes up for it.”“But will I…will I have to drink blood after I am…initiated?”“Don’t worry, Edwin. I promise it will be many years before either you or Ophelia will need to seek your sustenance in such a manner.” Hamlet kissed his cheek. “Are you ready?”Edwin nodded. Closing his eyes, he turned his head slightly to give Hamlet easier access. He felt a momentary pinch and then…Ecstasy! Overwhelming warmth flooded his veins as colors exploded in his mind and a feeling of euphoria lifted him from the bed to the skies. He was flying free from the confines of his body. He soared above the clouds…heading into the stars.“Wonderful, isn’t it?” Ophelia giggled and clapped her hands. “I wish I could experience it more often, but Hamlet says it’s even better once you’re on the receiving end.”He opened his eyes slowly. Still light-headed, Edwin observed the gaze of mutual pleasure in Hamlet’s dark eyes. His sensual lips glistened with tint of red. Instead of horror or aversion, Edwin felt complete peace and contentment.“Thank you.” Without hesitation Edwin pulled Hamlet's lips to his and kissed him.
Alain de Botton, The Course of Love|We don't need to be constantly reasonable in order to have good relationships; all we need to have mastered is the occasional capacity to acknowledge with good grace that we may, in one or two areas, be somewhat insane.
Bill Bigelow, A People's Curriculum for the Earth: Teaching Climate Change and the Environmental Crisis|Wolsey and Henry VIII, it has to be said, were not exceptional in their love of the table. The English of Tudor times had a reputation throughout Europe for gluttony. Indeed, overeating was regarded as the English vice in the same way that lust was the French one and drunkenness that of the Germans (although looking at the amount of alcohol consumed in England, I expect the English probably ran a close second to the Germans).
Wendell Berry, The Art of the Commonplace: The Agrarian Essays|If we are to have a culture as resilient and competent in the face of necessity as it needs to be, then it must somehow involve within itself a ceremonious generosity toward the wilderness of natural force and instinct. The farm must yield a place to the forest, not as a wood lot, or even as a necessary agricultural principle but as a sacred grove - a place where the Creation is let alone, to serve as instruction, example, refuge; a place for people to go, free of work and presumption, to let themselves alone. (pg. 125, The Body and the Earth)
Pushpendra Mehta, The Suitable Inheritor|Pursue your passion, work with your intuition learn as a child and adapt as water.
Jane Austen, Northanger Abbey|He shivered. His coat was thin, and it was obvious he would not get his kiss, which he found puzzling. The manly heroes of the penny dreadfuls and shilling novels never had these problems getting kissed.
Annie Seaton, Brushing Off the Boss|I can't afford to gamble."His breath came out in a hiss, but he tightened his grip around her."So we'll take it slow then," he said. "I won't push you beyond what you want, Sam. But fair warning: I will push you. When this happens it'll be on your terms, because you want it as much as I do." Not if, but when.
Yami Gautam|I understand only three things - films, fitness, and food.
Jay Woodman|I listen to the silenceand yearn to be more me,swimming in the sea of myself,learning eternally -finding out where the rocks areand smoothing them into sand.
Girdhar Joshi, Some Mistakes Have No Pardon|Biologists will teach us that the survival of the species depends on cooperation, not competition.
Lailah Gifty Akita|With peace of being, you can overcome any pain.
Alastair Agutter|Perhaps the secret to life is to understand simplistic perfection. A phenomena that surrounds us all each day in our natural world and by appreciating such beauty and wonder, can provide us with great fulfilment and enlightenment from the knowledge of learning.
Rosaria Champagne Butterfield|This heart within me I can feel, and I judge that it exists. This world I can touch, and I likewise judge that it exists. There ends all my knowledge, and the rest is construction. For if I try to seize this self of which I feel sure, if I try to define and to summarize it, it is nothing but water slipping through my fingers. I can sketch one by one all the aspects it is able to assume, all thoselikewise that have been attributed to it, this up bringing, this origin, this ardor or these silences, this nobility or this vileness. But aspects cannot be added up. This very heart which is mine will forever remain indefinable to me. Between the certainty I have of my existence and the content I try to give to that assurance, the gap will never be filled. Forever I shall be a stranger to myself. In psychology as in logic, there are truths but no truth. Socrates' "Know thyself" has as much value as the "Be virtuous" of our confessionals. They reveal a nostalgia at the same time as an ignorance. They are sterile exercises on great subjects. They are legitimate only in precisely so far as they are approximate.
Brian Ruckley, Bloodheir|When a man may whisper in a close ear, and that whisper be repeated far away and many moons later, then he has power. When a many may speak against another, and that other be brought to ruin and rue by nothing more than those words, then he has power. And if a man can act without the appearance of action, and bring about great change without the appearance of desiring it, then he has power.
Sarah L. Kaufman, The Art of Grace: On Moving Well Through Life|The only thing to do with tears is water your flowers with them, so that there is something to show the world when the sun comes out.
Mattie Stepanek|The real man smiles in trouble, gathers strength from distress, and grows brave by reflection.
Kasey Collin P. Dumdum|Who knows how you should be? We simply do our best, over and over and over.
Joan Didion, Slouching Towards Bethlehem|As it happens I am comfortable with the Michael Laskis of this world, with those who live outside rather than in, those in whom the sense of dread is so acute that they turn to extreme and doomed commitments; I know something about dread myself, and appreciate the elaborate systems with which some people manage to fill the void, appreciate all the opiates of the people, whether they are as accessible as alcohol and heroin and promiscuity or as hard to come by as faith in God or History. But of course I did not mention dread to Michael Laski, whose particular opiate is History. I did suggest “depression,” did venture that it might have been “depressing” for him to see only a dozen or so faces at his last May Day demonstration, but he told me that depression was an impediment to the revolutionary process, a disease afflicting only those who do not have ideology to sustain them.
Assegid Habtewold, The 9 Cardinal Building Blocks: For Continued Success in Leadership|Humility is hard when someone has things like wealth, knowledge, & recognition that may tempt him/her behave and act pridefully. Otherwise, worrying about pride without these factors that predispose you, it is just an illusion.
Henry David Thoreau, Walden|Little is to be expected of that day, if it can be called a day, to which we are not awakened by our Genius, but by the mechanical nudgings of some servitor, are not awakened by our own newly acquired force and aspirations from within, accompanied by the undulations of celestial music, instead of factory bells, and a fragrance filling the air--to a higher life than we fell asleep from; and thus the darkness bear its fruit, and prove itself to be good, no less than the light.
John Steinbeck, East of Eden|About the time I told God that He didn't exist, I was desperate for an identity.
Thomas Jefferson|He never asked me what I thought, and I never told him what I thought, because in my view that's the way a journalist ought to behave. You ought not to be going around to people volunteering your feelings. That's daily journalism.
Grace Willows, Don't Look Back: And Other Stories of the Paranormal|It waited for her. Standing resolute in the moonlight, it had stood for a hundred years. Yet it waited just for her. Shadows passed across the moon, a cool breeze ruffled the leaves around it. Yet still it waited for her. Ancient tombs glowed in shimmery moonlight, row upon row of cold silent witnesses.
James Kakalios, The Physics of Superheroes: Spectacular Second Edition|I have nothing to do with others, I am only concerned with myself. I take advantage of the fact that the majority of mankind are led by certain rewards to do things which directly or indirectly tend to my convenience.’‘It seems to me an awfully selfish way of looking at things,’ said Philip.‘But are you under the impression that men ever do anything except for selfish reasons?’‘Yes.’‘It is impossible that they should. You will find as you grow older that the first thing needful to make the world a tolerable place to live in is to recognise the inevitable selfishness of humanity. You demand unselfishness from others, which is a preposterous claim that they should sacrifice their desires to yours. Why should they? When you are reconciled to the fact that each is for himself in the world you will ask less from your fellows. They will not disappoint you, and you will look upon them more charitably. Men seek but one thing in life—their pleasure.
Colleen Houck|I could still feel the ghost of him hovering in the quiet, dark recess of my heart. It was as if he was just waiting for me to be lonely, or to let my guard down, so that he could surface and fill my mind again with thoughts of him.
Nora Ephron, I Remember Nothing|Living this long's not as wonderful as people think. I mean, you get the same amount of youth as everyone else, but a great big extra helping of being very old and deaf and creaky.
Paul Levy, Dispelling Wetiko|Trauma is a unique phenomenon all on its own, as if it is an entity in and of itself.
Benjamin Franklin|If a man could have half of his wishes, he would double his troubles.
Jeannette Walls, The Glass Castle|Felipe focused on the smattering of freckles across her bare left shoulder. For the next hour, he counted each of them out of the corner of his eye--an entire universe's worth. Lost in the constellations, he barely noticed the lurch of the small plane.
Julie Jewels Smoot|I will not let triggers, flashbacks,nightmares control my emotions.I will not let those triedto destroy me win this war.I have awakened and I willfind peace with myself.
John H. Johnson|You don't know when you are immersed in a book what the reaction to it will be, but I feel great about 'The Lake of Dreams.'
Phyllis Diller|Housework won't kill you, but then again, why take the chance?
Marissa Meyer, Fairest|Run towards the roar,’ the old people used to tell the young ones. When faced with great danger and when people panic and seek a false sense of safety, run towards the roaring and go where you fear to go. For only in facing your fears can you find some safety and a way through. When the world rattles and the end seems near, go towards the roar.
Richard Dawkins, An Appetite for Wonder: The Making of a Scientist|Problems arise when (especially) theologians use such metaphorical language without realizing that that is what they are doing, and without even realizing that there is a distinction between metaphor and reality – saying something like: ‘It is not important whether Jesus really fed the five thousand. What matters is what the idea of the story means to us.’ Actually it is important, because millions of devout people do believe the Bible is literally true.
Jack Nicklaus|I've wanted to design golf courses ever since I was a kid. I suppose it comes from the way I've played the game. To find the proper way to play any hole, I've always begun by asking myself what the architect has tried to do with it.
Stefan Zweig, The World of Yesterday|When all the forces in your organism come into play, then life will begin to play around you as well. You'll see what your eyes are closed to now, and you'll hear what you've never heard. The music of your nerves will begin to play, you'll hear the music of the spheres, and you'll listen to the grass grow. Just wait, there's no hurry. It will come in its own time!p. 257
Whitney Otto, How to Make an American Quilt|Think about what binds you to your husband and he to you. Marvel at the strength of that bond, which is both abstract and concrete, spiritual and legal.
Rae Hachton|When you told me you loved me," Lily's eyes widened when she looked at Lux, "You saved the world.
Adam Baker, Outpost|I looked out the window and saw the street and railroad tracks, the woods beyond. Beyond the woods, the county of which they were a part. And so on, until it all dissolved into the larger thing: my mother's house becoming every other house as I once had seen it, sitting atop the southern end of a broad river valley, close enough to the the mountains that every few years a scared black bear would wander down into the remaining forest, and close enough to the ocean that those early English settlers took it as the farthest point they'd go upstream, the geology of the place preventing them from having any choice other than the one wherein they said, "We are lost; therefore we will call this home." And close enough that as a child I had been teased by older kids who said if I only tried hard enough I would smell salt water, and I, believing, stood among the light poles and the gulls in the parking lots of A&Ps and cried when I knew that it was true despite the fact that they had meant to lie, as children sometimes do.
Jonathan Safran Foer, Extremely Loud and Incredibly Close|The next morning I told Mom I couldn't go to school again. She asked what was wrong. I told her, “The same thing that’s always wrong.” “You’re sick?” “I'm sad.” “About Dad?” “About everything.” She sat down on the bed next to me, even though I knew she was in a hurry. “What's everything?” I started counting on my fingers: “The meat and dairy products in our refrigerator, fistfights, car accidents, Larry–” “Who's Larry?” “The homeless guy in front of the Museum of Natural History who always says ‘I promise it’s for food’ after he asks for money.” She turned around and I zipped her dress while I kept counting. “How you don’t know who Larry is, even though you probably see him all the time, how Buckminster just sleeps and eats and goes to the bathroom and has no ‘raison d’etre’, the short ugly guy with no neck who takes tickets at the IMAX theater, how the sun is going to explode one day, how every birthday I always get at least one thing I already have, poor people who get fat because they eat junk food because it’s cheaper…” That was when I ran out of fingers, but my list was just getting started, and I wanted it to be long, because I knew she wouldn't leave while I was still going. “…domesticated animals, how I have a domesticated animal, nightmares, Microsoft Windows, old people who sit around all day because no one remembers to spend time with them and they’re embarrassed to ask people to spend time with them, secrets, dial phones, how Chinese waitresses smile even when there’s nothing funny or happy, and also how Chinese people own Mexican restaurants but Mexican people never own Chinese restaurants, mirrors, tape decks, my unpopularity in school, Grandma’s coupons, storage facilities, people who don’t know what the Internet is, bad handwriting, beautiful songs, how there won’t be humans in fifty years–” “Who said there won't be humans in fifty years?” I asked her, “Are you an optimist or a pessimist?” She looked at her watch and said, “I'm optimistic.” “Then I have some bed news for you, because humans are going to destroy each other as soon as it becomes easy enough to, which will be very soon.” “Why do beautiful songs make you sad?” “Because they aren't true.” “Never?” “Nothing is beautiful and true.
Havelock Ellis|To jealousy, nothing is more frightful than laughter.
Hannah Hart, Buffering: Unshared Tales of a Life Fully Loaded|There is much in this world that hurts us, but if we let pain become our master, we live our lives as slaves.
Cassandra Clare|If I feel the urge to burst into flames, I'll let you know," Simon was getting fed up. "Look, did you actually ask me to come all the way uptown just so you could stare at me like I'm something in a petrie dish? Next time I'll send you a photo.""And I'll frame it and put it on my nightstand," Jace said, but he didn't sound as if his heart was in the sarcasm. "Look, I asked you here for a reason, not to stare at you. Much as I hate to admit it, vampire, we have something in common.""Totally awesome hair?" Simon suggested
Elinor Wylie|I want to be on the screen, I want to play dress up every day, I want be different people, I want to have fun, and I want to use my imagination.
Julie Kagawa, The Lost Prince|Care to join me, Goodfellow?”“Oh, ice-boy. A moonlight stroll with you? Do you even have to ask?
Watchman Nee, Sit, Walk, Stand|But Christianity is a queer business! If at the outset we try to do anything, we get nothing; if we seek to attain something, we miss everything. For Christianity begins not with a big DO, but with a big DONE.
J.A. Ironside, I Belong to the Earth|This is m-me.” I indicated the lonely track.“Really? What’s up there?” He peered over my shoulder in genuine curiosity. “Is there a house up there? You’re not a sylph or something that really does live wild, are you?
Immaculée Ilibagiza, Led by Faith: Rising from the Ashes of the Rwandan Genocide|I said the Lord's Prayer hundreds of times, hoping to forgive the killers who were murdering all around me. It was no use-every time I got to the part asking God to "forgive those who trespass against us," my mouth went dry. I couldn't say the words because I didn't truly embrace the feeling behind them. My inability to forgive caused me even greater pain than the anguish I felt in being separated from my family, and it was worse than the physical torment of being constantly hunted.
